[2022-12-04 18:01:04,755: INFO/MainProcess] beat: Starting...
[2022-12-04 18:01:06,082: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:01:15,349: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:01:25,390: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:01:35,545: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:01:45,645: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:01:55,699: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:02:05,748: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:02:15,865: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:02:25,894: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:02:35,932: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:02:46,006: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:02:56,059: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:03:06,100: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:03:16,157: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:03:26,181: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:03:36,276: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:03:46,369: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:03:56,402: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:04:06,449: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:04:16,509: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:04:26,553: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:04:36,584: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:04:46,638: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:04:56,705: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:05:06,780: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:05:16,890: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:05:26,926: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:05:36,965: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:05:47,051: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:05:57,131: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:06:07,177: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:06:17,208: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:06:27,237: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:06:37,261: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:06:47,308: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:06:57,337: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:07:07,384: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:07:17,414: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:07:27,451: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:07:37,490: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:07:47,536: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:07:57,580: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:08:07,688: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:08:17,722: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:08:27,917: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:08:37,978: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:08:48,025: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:08:58,095: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:09:08,142: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:09:18,240: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:09:28,275: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:09:38,356: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:09:48,572: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:09:58,657: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:10:08,707: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:10:18,919: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:10:28,965: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:10:39,031: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:10:49,084: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
